event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
6288,2014-09-22,26.199,91.8,Assam,126.76,191.59,231.7,267.93,354.68,0.97,1.8756,95.98,22.6,359.57,0.002251,1,positive
APDA-NEG-01009,2015-09-23,25.5,92.5,Meghalaya,37.97,83.05,107.62,187.02,481.34,0.98,3.2,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-01084,2018-06-05,24.0,92.5,Mizoram,22.88,55.52,117.59,183.73,493.03,0.9,2.6667,707.92,8.18,84.72,-0.000283,0,negative
9142,2016-06-14,26.319,94.525,Nagaland,6.05,35.82,62.33,91.54,256.62,0.79,0.5907,1161.08,6.81,177.67,-0.000907,1,positive
2577,2010-10-09,25.527,93.867,Manipur,26.82,107.81,120.26,149.78,258.3,0.94,2.1942,1348.91,21.87,210.88,0.006359,1,positive
APDA-NEG-00079,2016-04-23,29.0,96.25,Arunachal Pradesh,6.77,35.73,48.85,98.77,150.82,0.83,2.2,4424.4,28.85,66.8,0.001741,0,negative
5611,2013-10-18,30.535,79.085,Uttarakhand,0.03,0.39,0.57,13.42,55.06,0.83,1.6099,1408.62,21.86,120.94,0.002189,1,positive
APDA-NEG-00464,2010-07-07,33.0,77.5,Himachal Pradesh,0.83,13.0,18.52,27.77,38.43,0.42,-0.5333,5155.49,22.24,314.26,0.012153,0,negative
7335,2015-08-18,25.515,90.202,Meghalaya,15.22,43.75,59.02,102.65,270.29,0.89,0.4299,284.44,26.05,246.08,-0.000967,1,positive
APDA-NEG-01029,2019-07-09,25.0,90.625,Meghalaya,115.12,216.72,280.01,534.83,801.96,0.98,3.2,9.45,0.41,97.51,-0.000647,0,negative
9936,2017-07-03,32.306,77.522,Himachal Pradesh,0.04,4.28,38.59,54.77,85.67,0.76,1.5814,4794.98,37.31,25.1,-0.0118,1,positive
APDA-NEG-01181,2013-07-12,27.0,95.0,Nagaland,7.64,21.33,62.85,195.06,362.54,0.88,2.5333,117.36,3.0,28.88,0.00233,0,negative
APDA-NEG-01272,2010-08-14,26.5,94.375,Nagaland,16.59,53.98,68.71,101.59,271.8,0.93,2.8667,307.93,20.68,270.76,-0.012984,0,negative
7285,2015-07-26,31.126,77.353,Himachal Pradesh,11.81,31.21,47.27,147.65,344.79,0.9,0.7618,2278.69,3.57,259.16,0.006486,1,positive
APDA-NEG-00033,2011-08-15,29.0,95.625,Arunachal Pradesh,10.06,34.84,43.75,83.12,201.14,0.85,2.3333,2967.53,32.82,99.99,-0.011499,0,negative
APDA-NEG-01829,2017-07-11,30.5,80.0,Uttarakhand,13.85,28.91,77.31,104.8,137.33,0.77,1.8,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-00018,2017-04-22,28.0,93.75,Arunachal Pradesh,5.8,12.98,17.76,34.63,116.9,0.7,1.3333,576.05,30.81,45.85,0.021021,0,negative
10066,2016-09-11,30.597,79.57,Uttarakhand,1.13,1.4,3.25,15.47,52.17,0.66,-1.1857,1648.99,40.57,62.35,0.008797,1,positive
APDA-NEG-00930,2010-10-08,24.0,93.75,Manipur,72.28,130.48,136.62,161.34,235.03,0.93,2.8667,938.27,22.91,215.12,-0.015373,0,negative
APDA-NEG-01183,2013-07-13,26.5,94.375,Nagaland,7.16,40.94,70.74,185.82,343.5,0.84,2.2667,307.93,20.68,270.76,-0.012984,0,negative
2469,2010-09-19,30.901,77.467,Himachal Pradesh,61.51,118.73,171.84,316.03,594.7,1.0,2.1616,2442.42,40.39,214.82,-0.001532,1,positive
APDA-NEG-00492,2018-10-10,32.5,78.125,Himachal Pradesh,0.73,0.74,0.74,11.51,130.37,0.78,1.8667,5364.12,23.0,184.14,0.001507,0,negative
APDA-NEG-01160,2010-10-08,25.5,94.375,Nagaland,52.1,92.98,96.35,132.66,238.6,0.98,3.2,1690.52,34.92,313.33,-0.003122,0,negative
7390,2015-08-01,24.427,94.191,Manipur,3.7,100.7,118.29,220.65,329.07,0.87,1.5219,1298.96,12.73,250.79,-0.004923,1,positive
APDA-NEG-00352,2008-08-17,31.5,78.75,Himachal Pradesh,8.57,33.31,79.82,151.04,244.77,0.88,2.5333,4989.8,15.71,68.13,-0.003931,0,negative
1611,2010-04-01,25.155,93.028,Assam,40.47,104.47,158.73,163.85,176.46,0.86,2.8394,593.92,28.88,197.51,-0.001517,1,positive
APDA-NEG-00663,2017-04-18,30.5,76.875,Himachal Pradesh,0.0,0.0,0.03,28.84,28.84,0.26,-1.6,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-00989,2015-06-13,26.0,91.25,Meghalaya,10.88,89.65,167.52,249.36,429.0,0.79,1.9333,43.29,0.09,114.93,-0.000208,0,negative
9219,2016-07-27,26.01,94.528,Nagaland,16.48,41.59,75.33,156.43,335.71,0.94,1.4211,1717.19,15.39,50.2,0.000278,1,positive
4933,2013-06-16,31.599,78.438,Himachal Pradesh,102.57,166.77,212.94,217.8,222.73,0.86,2.8413,2309.48,55.71,127.71,0.016922,1,positive
APDA-NEG-00574,2018-10-10,31.5,78.75,Himachal Pradesh,0.3,0.3,0.3,2.12,79.17,0.77,1.8,4989.8,15.71,68.13,-0.003931,0,negative
6552,2014-08-26,31.559,77.928,Himachal Pradesh,0.88,0.88,1.2,61.29,149.95,0.66,-0.7863,1617.98,41.91,270.6,0.003583,1,positive
APDA-NEG-00844,2017-07-08,24.5,94.375,Manipur,27.04,69.84,125.62,215.71,362.5,0.91,2.7333,319.22,17.67,30.12,-0.00491,0,negative
APDA-NEG-00629,2015-12-29,31.5,78.75,Himachal Pradesh,0.0,0.0,0.12,0.5,18.43,0.61,0.7333,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-00482,2010-10-04,31.5,78.75,Himachal Pradesh,0.0,0.02,2.08,23.34,193.38,0.88,2.5333,4989.8,15.71,68.13,-0.003931,0,negative
3840,2011-07-25,24.687,93.916,Manipur,2.86,6.69,86.47,208.01,357.0,0.91,1.4701,771.67,0.11,238.83,-4.4e-05,1,positive
12715,2017-08-26,25.26,94.019,Manipur,27.77,42.24,52.92,106.74,230.7,0.93,2.2386,1085.24,21.66,218.44,0.000642,1,positive
APDA-NEG-00101,2017-04-26,28.5,95.625,Arunachal Pradesh,56.96,164.42,183.56,191.79,320.0,0.9,2.6667,2215.04,37.28,283.93,-0.000253,0,negative
APDA-NEG-01452,2011-06-29,30.5,77.5,Uttarakhand,18.3,28.42,133.85,185.42,287.62,0.71,1.4,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00819,2011-05-31,24.0,93.125,Manipur,10.08,45.68,55.03,182.25,260.33,0.78,1.8667,1156.07,10.45,264.05,-0.013664,0,negative
APDA-NEG-01375,2013-09-08,27.5,88.125,Sikkim,2.65,24.89,73.85,139.39,245.2,0.92,2.8,4104.06,56.52,298.77,0.014678,0,negative
APDA-NEG-01777,2016-05-23,30.5,80.0,Uttarakhand,1.13,1.89,4.51,14.11,43.92,0.53,0.2,5403.64,16.29,342.16,0.008133,0,negative
755,2008-08-28,27.337,88.609,Sikkim,3.56,14.14,30.97,103.28,230.27,0.86,0.3721,1553.28,17.82,324.74,-0.006083,1,positive
APDA-NEG-00957,2007-07-26,25.5,92.5,Meghalaya,26.73,87.56,126.04,226.55,348.44,0.94,2.9333,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00948,2011-07-22,24.5,93.125,Manipur,5.56,43.21,135.31,211.58,415.79,0.9,2.6667,489.42,31.49,307.92,0.01086,0,negative
APDA-NEG-00342,2011-06-29,32.5,78.125,Himachal Pradesh,2.91,7.82,25.82,33.01,68.44,0.47,-0.2,5364.12,23.0,184.14,0.001507,0,negative
14235,2017-08-14,31.914,76.893,Himachal Pradesh,6.21,16.24,42.11,140.73,289.92,0.88,0.5231,1541.95,39.15,338.29,0.006598,1,positive
APDA-NEG-01638,2013-06-24,29.0,79.375,Uttarakhand,29.02,35.31,40.35,227.44,271.68,0.63,0.8667,215.32,0.43,292.55,0.001399,0,negative
APDA-NEG-01856,2015-07-28,31.0,79.375,Uttarakhand,0.93,7.62,21.74,35.15,134.09,0.73,1.5333,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00295,2016-12-15,25.5,90.625,Assam,0.0,0.0,0.0,0.0,0.07,0.75,1.6667,263.81,5.53,161.64,-0.002985,0,negative
5097,2013-07-14,31.471,77.675,Himachal Pradesh,4.74,12.69,83.61,143.73,477.82,0.88,1.76,1048.87,46.97,53.34,-0.004415,1,positive
APDA-NEG-00248,2012-06-25,27.0,94.375,Assam,27.26,73.88,128.36,244.48,405.54,0.87,2.4667,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-01111,2007-08-28,25.5,94.375,Nagaland,2.45,10.41,29.27,74.02,105.82,0.7,1.3333,1690.52,34.92,313.33,-0.003122,0,negative
APDA-NEG-00544,2015-07-26,32.5,76.875,Himachal Pradesh,14.52,24.23,48.77,159.67,294.12,0.91,2.7333,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00645,2016-08-21,31.5,78.75,Himachal Pradesh,2.37,6.61,14.05,47.16,134.76,0.73,1.5333,4989.8,15.71,68.13,-0.003931,0,negative
4378,2012-06-02,28.825,96.152,Arunachal Pradesh,4.69,12.46,14.98,25.87,73.49,0.68,-0.2686,3580.52,18.65,100.5,-0.000928,1,positive
7699,2015-08-19,26.021,94.522,Nagaland,14.28,30.55,56.39,137.17,283.18,0.94,1.1529,1582.98,18.75,262.04,0.001564,1,positive
13814,2018-07-31,25.673,94.105,Nagaland,14.4,86.98,184.23,248.18,396.1,0.97,1.9437,1365.09,19.57,236.16,-0.000442,1,positive
APDA-NEG-00616,2010-07-25,32.5,76.875,Himachal Pradesh,3.89,5.61,137.9,184.77,250.12,0.77,1.8,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00185,2010-10-09,26.5,94.375,Assam,16.7,50.86,58.63,129.52,288.4,0.95,3.0,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00444,2018-09-26,32.5,78.125,Himachal Pradesh,0.0,41.89,106.62,116.81,162.58,0.77,1.8,5364.12,23.0,184.14,0.001507,0,negative
APDA-NEG-01343,2011-06-24,27.5,88.75,Sikkim,20.14,44.33,61.24,84.56,117.0,0.68,1.2,3955.2,32.18,303.05,-0.003542,0,negative
APDA-NEG-01187,2013-07-17,27.0,94.375,Nagaland,21.51,43.49,85.0,170.49,402.85,0.87,2.4667,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-00504,2013-08-21,30.5,76.875,Himachal Pradesh,25.83,33.95,101.71,189.02,365.08,0.9,2.6667,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-00279,2016-06-22,26.5,94.375,Assam,24.19,41.07,135.04,199.93,255.84,0.87,2.4667,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00168,2014-06-27,28.0,93.75,Assam,28.12,46.89,97.24,180.76,287.38,0.84,2.2667,576.05,30.81,45.85,0.021021,0,negative
APDA-NEG-00676,2017-09-02,31.5,78.75,Himachal Pradesh,4.39,29.3,39.59,62.39,97.7,0.75,1.6667,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-01244,2016-06-14,26.5,94.375,Nagaland,6.05,35.82,62.33,91.54,256.62,0.79,1.9333,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-01290,2015-08-12,27.0,95.0,Nagaland,11.12,33.36,58.78,127.41,298.77,0.91,2.7333,117.36,3.0,28.88,0.00233,0,negative
APDA-NEG-00489,2011-08-07,30.5,76.875,Himachal Pradesh,1.41,27.32,41.3,106.45,277.26,0.7,1.3333,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-00945,2017-08-26,25.0,93.125,Manipur,27.38,63.61,93.69,197.36,373.79,0.97,3.1333,275.9,30.23,93.66,-0.002097,0,negative
4556,2012-09-16,27.168,88.365,Sikkim,36.17,98.58,150.96,177.91,343.09,0.92,0.9317,1540.6,19.63,347.2,-0.002498,1,positive
APDA-NEG-00258,2014-09-22,26.5,94.375,Assam,15.76,64.26,104.26,197.19,269.72,0.93,2.8667,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00835,2011-07-29,24.5,93.125,Manipur,1.01,4.25,24.62,191.59,310.98,0.88,2.5333,489.42,31.49,307.92,0.01086,0,negative
APDA-NEG-00794,2015-08-01,25.0,93.125,Manipur,13.93,93.0,107.23,259.26,462.73,0.95,3.0,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-00350,2010-08-11,31.5,78.75,Himachal Pradesh,1.0,18.74,49.21,167.96,257.31,0.83,2.2,4989.8,15.71,68.13,-0.003931,0,negative
2468,2010-09-19,30.904,77.097,Himachal Pradesh,35.98,56.2,82.43,230.46,393.68,0.9,1.855,1440.5,16.85,302.55,-0.00543,1,positive
5274,2013-08-04,26.084,94.564,Nagaland,5.78,14.93,47.43,109.0,290.88,0.89,0.7207,1838.86,20.53,119.93,-0.001441,1,positive
APDA-NEG-01330,2017-07-10,27.5,88.125,Sikkim,28.06,72.13,116.05,196.89,291.11,0.92,2.8,4104.06,56.52,298.77,0.014678,0,negative
APDA-NEG-00839,2012-06-10,24.0,94.375,Manipur,4.32,5.27,30.2,84.11,104.33,0.54,0.2667,308.07,14.0,233.72,-0.007124,0,negative
7289,2015-07-26,31.709,76.93,Himachal Pradesh,13.68,24.55,36.6,228.68,424.06,0.86,1.4097,756.37,1.73,277.45,0.00287,1,positive
9797,2017-05-24,27.77,93.51,Arunachal Pradesh,26.83,45.0,131.17,186.13,341.15,0.84,1.6395,863.34,45.27,252.9,-0.009548,1,positive
APDA-NEG-01016,2015-06-13,25.5,92.5,Meghalaya,32.26,105.13,265.65,377.71,590.6,0.95,3.0,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00031,2011-08-12,28.0,95.0,Arunachal Pradesh,3.33,5.33,13.15,129.05,492.54,0.89,2.6,784.15,2.6,262.83,-0.001803,0,negative
APDA-NEG-00667,2017-04-30,32.5,76.875,Himachal Pradesh,11.06,14.89,22.04,34.44,98.14,0.88,2.5333,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00665,2017-04-23,32.0,78.125,Himachal Pradesh,5.92,13.97,13.97,14.47,70.83,0.82,2.1333,5347.43,45.52,279.8,-0.005436,0,negative
APDA-NEG-00169,2010-04-01,25.5,92.5,Assam,16.86,75.24,117.83,125.09,131.39,0.81,2.0667,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-01071,2015-08-26,24.0,92.5,Mizoram,3.31,6.23,50.2,203.71,395.96,0.93,2.8667,707.92,8.18,84.72,-0.000283,0,negative
12943,2017-08-22,31.498,76.875,Himachal Pradesh,4.91,51.71,78.02,116.45,309.73,0.83,0.4652,893.12,30.66,279.13,0.007329,1,positive
5209,2013-07-26,30.654,78.337,Uttarakhand,1.04,25.6,94.52,213.45,387.83,0.91,1.3121,996.94,37.34,30.2,-0.017807,1,positive
APDA-NEG-00182,2011-07-24,26.5,94.375,Assam,3.4,56.2,171.29,292.58,465.27,0.89,2.6,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00763,2007-09-11,25.0,93.125,Manipur,8.08,25.32,160.72,199.28,310.14,0.87,2.4667,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-00413,2010-08-26,32.0,78.125,Himachal Pradesh,4.68,24.94,55.83,107.56,224.68,0.76,1.7333,5347.43,45.52,279.8,-0.005436,0,negative
78,2007-05-23,27.338,88.607,Sikkim,0.09,2.4,28.81,62.6,91.16,0.54,-0.1547,1513.47,22.46,321.84,0.004179,1,positive
APDA-NEG-01528,2015-08-15,29.5,80.625,Uttarakhand,4.55,10.65,23.97,55.79,130.14,0.71,1.4,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00047,2012-09-19,29.0,96.25,Arunachal Pradesh,10.81,23.74,52.4,87.82,193.71,0.89,2.6,4424.4,28.85,66.8,0.001741,0,negative
APDA-NEG-00721,2018-09-03,32.0,78.125,Himachal Pradesh,6.28,14.99,23.23,107.24,260.9,0.85,2.3333,5347.43,45.52,279.8,-0.005436,0,negative
APDA-NEG-00291,2016-09-01,25.0,90.625,Assam,20.17,51.74,71.63,94.35,258.58,0.91,2.7333,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-00158,2017-07-09,25.5,92.5,Assam,24.88,56.41,134.95,288.79,756.45,0.97,3.1333,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00406,2015-07-26,31.5,78.75,Himachal Pradesh,6.31,12.8,19.88,59.93,162.03,0.76,1.7333,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-00122,2012-09-19,28.0,93.75,Arunachal Pradesh,25.92,62.09,106.84,226.27,435.24,0.94,2.9333,576.05,30.81,45.85,0.021021,0,negative
APDA-NEG-01378,2013-09-07,27.15,88.8,Sikkim,12.73,56.12,123.62,216.02,386.1,0.92,2.8,1594.02,19.03,313.44,-0.001078,0,negative
2056,2010-07-11,32.304,77.211,Himachal Pradesh,11.24,15.23,54.14,76.6,97.33,0.59,-0.1956,3094.5,23.3,337.34,-0.003463,1,positive
4550,2012-09-14,30.285,78.983,Uttarakhand,22.52,77.03,105.32,158.69,444.76,0.97,1.7491,656.91,20.85,185.84,0.006125,1,positive
715,2008-08-14,31.0,77.12,Himachal Pradesh,28.03,111.29,208.01,328.56,422.73,0.92,2.0385,1442.23,17.88,115.72,0.001512,1,positive
1770,2010-04-20,26.197,91.763,Assam,33.21,123.36,189.67,214.75,297.34,0.85,2.0092,91.86,11.8,201.42,-0.009228,1,positive
APDA-NEG-01082,2014-07-14,24.5,93.125,Mizoram,6.18,16.74,25.79,75.38,325.75,0.81,2.0667,489.42,31.49,307.92,0.01086,0,negative
APDA-NEG-01243,2016-07-27,25.5,94.375,Nagaland,16.64,36.26,64.49,131.26,291.81,0.92,2.8,1690.52,34.92,313.33,-0.003122,0,negative
APDA-NEG-01282,2017-06-25,26.5,94.375,Nagaland,36.5,84.88,104.75,197.31,335.38,0.9,2.6667,307.93,20.68,270.76,-0.012984,0,negative
14055,2018-08-11,31.343,76.762,Himachal Pradesh,1.75,10.62,81.72,125.99,322.96,0.81,0.4176,562.57,14.12,231.9,-0.005673,1,positive
2345,2010-08-27,27.339,88.619,Sikkim,11.94,39.91,93.81,199.19,282.22,0.91,1.1068,1868.05,25.05,73.01,-0.006368,1,positive
APDA-NEG-01081,2015-09-14,24.5,93.125,Mizoram,26.51,33.21,58.82,172.24,332.55,0.94,2.9333,489.42,31.49,307.92,0.01086,0,negative
7591,2015-03-19,25.032,92.458,Assam,0.01,0.01,0.01,0.08,31.16,0.6,-0.0137,78.61,14.87,311.24,0.008403,1,positive
9925,2017-07-02,32.246,78.066,Himachal Pradesh,2.66,10.93,55.15,81.53,122.76,0.8,2.0793,4114.41,29.88,301.45,0.004507,1,positive
2411,2010-09-10,27.001,93.727,Arunachal Pradesh,15.17,73.01,134.58,273.57,530.59,0.95,1.3497,109.05,1.28,275.38,-0.000399,1,positive
APDA-NEG-01795,2016-08-04,29.5,78.75,Uttarakhand,0.13,0.77,71.25,190.04,371.53,0.75,1.6667,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-00656,2010-07-07,32.5,76.875,Himachal Pradesh,2.28,33.99,52.76,77.49,100.91,0.59,0.6,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00433,2010-09-19,33.0,77.5,Himachal Pradesh,7.92,10.92,15.69,42.36,91.52,0.66,1.0667,5155.49,22.24,314.26,0.012153,0,negative
7649,2015-08-11,31.324,76.762,Himachal Pradesh,4.56,13.3,66.39,103.23,271.37,0.83,0.6399,576.18,12.89,213.63,-0.010871,1,positive
4966,2013-06-19,29.594,79.681,Uttarakhand,1.01,66.24,233.83,299.43,314.4,0.78,2.0935,1245.96,9.72,173.89,-0.006319,1,positive
11160,2017-07-10,26.263,94.815,Nagaland,42.24,134.3,200.1,370.85,563.85,0.98,1.7326,1315.49,13.48,129.11,-0.009056,1,positive
322,2007-10-21,24.75,93.433,Manipur,2.38,19.51,65.78,121.83,136.18,0.83,0.3669,466.91,39.77,2.29,-0.000928,1,positive
APDA-NEG-00669,2017-05-05,32.5,78.125,Himachal Pradesh,0.33,3.06,13.34,29.59,47.76,0.67,1.1333,5364.12,23.0,184.14,0.001507,0,negative
APDA-NEG-01426,2013-07-25,29.5,80.625,Uttarakhand,19.75,38.78,147.1,221.9,434.99,0.92,2.8,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-01661,2013-07-24,30.5,80.0,Uttarakhand,7.72,17.62,60.91,105.52,226.67,0.83,2.2,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-00157,2008-06-15,26.5,94.375,Assam,1.49,47.72,113.43,191.33,335.91,0.77,1.8,307.93,20.68,270.76,-0.012984,0,negative
797,2008-09-19,31.1,77.165,Himachal Pradesh,114.48,164.66,168.24,211.99,253.72,0.91,1.9607,1893.9,29.15,329.17,0.003031,1,positive
5552,2013-09-24,25.099,94.362,Manipur,0.3,0.56,1.4,79.51,257.66,0.89,1.2972,1890.85,7.27,197.35,0.00175,1,positive
6968,2015-06-13,25.463,92.212,Meghalaya,32.26,105.13,265.65,377.71,590.6,0.95,1.5031,1381.35,4.78,229.07,-0.006096,1,positive
1154,2009-09-10,32.404,77.58,Himachal Pradesh,13.6,49.11,54.22,103.74,142.55,0.72,-0.2704,4367.11,3.21,110.06,0.001678,1,positive
APDA-NEG-01616,2018-08-11,29.5,80.625,Uttarakhand,4.31,8.77,50.44,151.57,299.59,0.78,1.8667,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00247,2014-09-22,25.5,90.625,Assam,110.54,208.07,284.09,344.19,495.97,0.99,3.2667,263.81,5.53,161.64,-0.002985,0,negative
1157,2009-09-13,31.103,77.163,Himachal Pradesh,0.0,48.21,124.02,222.3,285.94,0.73,0.2331,2021.9,28.34,8.8,-0.004233,1,positive
APDA-NEG-00117,2017-07-01,29.0,96.25,Arunachal Pradesh,18.16,59.67,102.93,171.07,240.69,0.92,2.8,4424.4,28.85,66.8,0.001741,0,negative
APDA-NEG-00269,2015-09-23,25.5,90.625,Assam,37.89,105.59,141.99,210.09,483.11,0.98,3.2,263.81,5.53,161.64,-0.002985,0,negative
APDA-NEG-01679,2013-07-26,30.5,80.0,Uttarakhand,1.05,15.49,54.13,106.59,195.31,0.82,2.1333,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-01624,2016-07-18,30.5,80.0,Uttarakhand,6.97,51.1,71.68,83.29,127.44,0.74,1.6,5403.64,16.29,342.16,0.008133,0,negative
4943,2013-06-17,29.599,79.659,Uttarakhand,58.3,193.41,253.36,292.24,306.46,0.9,2.9908,1584.88,12.4,187.56,0.002528,1,positive
APDA-NEG-00716,2010-08-11,33.0,77.5,Himachal Pradesh,0.43,11.12,37.92,100.38,181.3,0.64,0.9333,5155.49,22.24,314.26,0.012153,0,negative
APDA-NEG-00333,2017-07-10,25.5,92.5,Assam,22.44,68.16,147.22,294.8,772.59,0.97,3.1333,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00172,2015-09-01,27.0,94.375,Assam,14.84,105.23,270.42,383.12,548.16,0.96,3.0667,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-01156,2016-06-12,27.0,94.375,Nagaland,25.25,35.92,67.95,82.89,275.85,0.8,2.0,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-01434,2017-06-06,29.0,79.375,Uttarakhand,4.19,4.2,9.07,28.57,51.96,0.24,-1.7333,215.32,0.43,292.55,0.001399,0,negative
6291,2014-09-21,25.735,90.385,Meghalaya,58.74,149.12,181.87,240.28,412.63,0.98,1.0271,338.06,6.98,283.0,0.001578,1,positive
APDA-NEG-00517,2013-06-12,32.5,76.875,Himachal Pradesh,9.95,28.17,28.67,32.26,37.03,0.68,1.2,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00627,2015-12-07,30.5,76.875,Himachal Pradesh,0.0,0.0,0.0,1.7,1.88,0.35,-1.0,298.08,0.59,195.1,0.000987,0,negative
9853,2016-08-16,27.593,88.492,Sikkim,12.74,20.88,45.13,101.33,319.6,0.93,1.4573,3251.94,43.12,328.67,-0.012761,1,positive
APDA-NEG-01595,2012-08-14,31.0,79.375,Uttarakhand,10.24,18.33,38.16,94.1,151.74,0.74,1.6,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00160,2010-10-09,25.5,92.5,Assam,23.78,120.24,126.41,161.07,324.93,0.97,3.1333,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00631,2016-06-17,32.5,76.875,Himachal Pradesh,0.21,8.46,10.08,25.5,50.61,0.75,1.6667,5101.1,32.0,358.76,0.004829,0,negative
2458,2010-09-19,30.902,78.776,Uttarakhand,56.47,116.35,168.45,276.01,536.77,0.98,2.2301,5236.27,28.35,263.27,-0.003972,1,positive
APDA-NEG-01149,2010-08-19,26.5,94.375,Nagaland,14.89,44.8,120.66,149.35,292.19,0.93,2.8667,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-01301,2007-09-09,27.15,88.7632,Sikkim,4.82,62.44,149.2,203.46,343.95,0.9,2.6667,2635.98,24.27,20.83,-0.003513,0,negative
APDA-NEG-00934,2015-08-01,24.5,93.125,Manipur,13.23,101.21,122.2,287.02,505.03,0.95,3.0,489.42,31.49,307.92,0.01086,0,negative
6283,2014-09-22,26.131,91.755,Assam,126.76,191.59,231.7,267.93,354.68,0.97,1.8756,78.58,8.14,255.72,6.8e-05,1,positive
APDA-NEG-01018,2017-07-09,26.0,90.625,Meghalaya,30.91,46.91,140.02,217.64,552.97,0.91,2.7333,62.04,6.07,73.96,0.000375,0,negative
APDA-NEG-00559,2013-07-14,31.5,78.75,Himachal Pradesh,2.51,9.2,39.33,83.03,344.06,0.86,2.4,4989.8,15.71,68.13,-0.003931,0,negative
5100,2013-07-14,31.673,76.534,Himachal Pradesh,3.21,4.16,109.38,148.56,240.69,0.58,0.648,749.76,3.03,346.64,0.001201,1,positive
APDA-NEG-01649,2013-07-19,30.5,80.0,Uttarakhand,10.48,27.95,51.04,117.18,212.94,0.81,2.0667,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-00475,2011-07-10,31.5,78.75,Himachal Pradesh,6.02,14.93,48.24,82.18,153.72,0.78,1.8667,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-01242,2017-07-09,25.5,94.375,Nagaland,16.21,89.47,150.89,255.24,405.92,0.95,3.0,1690.52,34.92,313.33,-0.003122,0,negative
APDA-NEG-01680,2011-07-10,30.5,77.5,Uttarakhand,16.82,33.98,109.68,195.28,336.87,0.79,1.9333,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-01827,2017-07-07,29.5,80.625,Uttarakhand,22.63,108.39,168.83,190.85,236.68,0.8,2.0,2217.17,32.44,5.59,0.001258,0,negative
7297,2015-07-28,30.72,79.076,Uttarakhand,2.94,12.66,43.17,67.82,238.38,0.8,0.4637,3614.75,37.2,298.59,-0.002339,1,positive
APDA-NEG-00889,2015-08-01,24.0,93.125,Manipur,10.71,88.0,118.64,278.99,491.54,0.95,3.0,1156.07,10.45,264.05,-0.013664,0,negative
APDA-NEG-01155,2010-10-09,26.5,94.375,Nagaland,16.7,50.86,58.63,129.52,288.4,0.95,3.0,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00474,2008-12-21,33.0,77.5,Himachal Pradesh,0.14,2.82,3.65,9.75,9.75,0.53,0.2,5155.49,22.24,314.26,0.012153,0,negative
