event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-00009,2010-04-21,29.0,95.625,Arunachal Pradesh,12.05,34.26,48.05,80.76,151.14,0.73,1.5333,2967.53,32.82,99.99,-0.011499,0,negative
10987,2017-06-17,25.678,91.923,Meghalaya,52.71,311.77,533.46,627.58,1010.05,0.99,1.2707,980.03,22.63,22.68,-0.002123,1,positive
APDA-NEG-00940,2011-07-06,24.0,94.375,Manipur,2.25,19.5,31.41,115.49,217.58,0.67,1.1333,308.07,14.0,233.72,-0.007124,0,negative
3859,2011-07-29,30.012,78.197,Uttarakhand,8.04,86.88,122.43,291.87,481.74,0.87,1.3609,353.43,2.2,195.16,-0.000953,1,positive
2437,2010-09-16,23.753,92.694,Mizoram,7.76,34.33,58.77,126.66,250.29,0.88,0.5544,791.13,29.75,101.39,-0.008302,1,positive
APDA-NEG-01158,2017-07-02,26.0,93.75,Nagaland,17.68,58.43,88.71,180.72,305.71,0.86,2.4,155.68,5.21,210.16,-0.003056,0,negative
APDA-NEG-01611,2013-06-16,30.5,77.5,Uttarakhand,153.7,286.17,391.94,401.2,409.24,0.94,2.9333,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-01587,2011-12-10,31.0,79.375,Uttarakhand,0.0,3.39,3.71,3.71,3.71,0.68,1.2,5085.99,17.29,81.7,0.00088,0,negative
3666,2011-06-29,32.432,77.215,Himachal Pradesh,5.91,18.59,55.28,71.44,127.46,0.69,0.987,3585.02,54.2,295.21,0.000928,1,positive
7249,2015-07-13,31.085,77.167,Himachal Pradesh,36.99,144.96,198.09,288.73,361.27,0.82,2.0988,1830.25,42.76,227.44,-0.004878,1,positive
APDA-NEG-00428,2011-07-12,30.5,76.875,Himachal Pradesh,0.16,9.33,55.34,89.3,230.16,0.54,0.2667,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-00808,2007-08-26,24.0,94.375,Manipur,1.64,2.27,10.13,41.94,53.1,0.46,-0.2667,308.07,14.0,233.72,-0.007124,0,negative
APDA-NEG-00491,2011-08-07,32.0,78.125,Himachal Pradesh,0.43,9.95,16.03,69.87,140.8,0.66,1.0667,5347.43,45.52,279.8,-0.005436,0,negative
3757,2011-07-10,30.733,78.44,Uttarakhand,18.9,30.58,111.59,211.4,337.56,0.92,1.5031,1437.46,43.79,1.27,0.004055,1,positive
APDA-NEG-01576,2018-09-03,29.0,79.375,Uttarakhand,16.39,24.43,82.1,278.3,453.32,0.9,2.6667,215.32,0.43,292.55,0.001399,0,negative
APDA-NEG-00785,2010-07-30,24.0,93.75,Manipur,17.59,40.68,55.02,91.17,203.62,0.82,2.1333,938.27,22.91,215.12,-0.015373,0,negative
APDA-NEG-00354,2018-09-27,31.5,78.75,Himachal Pradesh,0.0,2.61,66.68,72.76,107.42,0.8,2.0,4989.8,15.71,68.13,-0.003931,0,negative
692,2008-08-07,25.705,94.04,Nagaland,0.82,12.78,35.98,92.93,210.21,0.73,-0.1864,1041.38,16.27,133.22,-0.007168,1,positive
APDA-NEG-00488,2018-09-02,32.5,76.875,Himachal Pradesh,10.93,16.29,23.66,103.89,276.73,0.89,2.6,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00518,2018-09-23,32.5,78.125,Himachal Pradesh,34.0,64.73,64.73,84.64,125.46,0.76,1.7333,5364.12,23.0,184.14,0.001507,0,negative
3671,2011-06-29,30.815,78.224,Uttarakhand,12.67,20.58,85.78,118.69,200.19,0.8,1.2552,1342.88,19.94,221.34,-0.002232,1,positive
5272,2013-08-04,26.208,94.544,Nagaland,5.78,14.93,47.43,109.0,290.88,0.89,0.7207,1478.25,7.24,321.35,-0.011503,1,positive
10070,2017-04-06,31.013,78.884,Uttarakhand,13.58,40.38,40.38,40.42,71.11,0.69,0.6297,3032.94,36.04,2.62,0.014146,1,positive
