event_id,event_date,latitude,longitude,state,source_catalog,source_dataset,sample_type,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide
APDA-NEG-00059,2013-09-02,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,32.14,73.51,159.52,208.01,517.77,0.95,3.0,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00060,2017-05-24,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,25.73,41.7,157.1,174.67,451.03,0.87,2.4667,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00061,2014-05-08,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,10.49,23.19,27.58,48.0,70.92,0.69,1.2667,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00062,2017-07-01,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,54.08,110.88,194.33,305.48,463.56,0.94,2.9333,86.0,0.0,0.0,0.0,0
APDA-NEG-00063,2014-06-27,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,28.12,46.89,97.24,180.76,287.38,0.84,2.2667,576.05,30.81,45.85,0.021021,0
APDA-NEG-00064,2016-05-01,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,11.57,26.97,46.97,195.04,420.28,0.86,2.4,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00065,2014-08-17,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.7,37.84,186.98,349.56,539.5,0.95,3.0,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00066,2017-07-09,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,86.5,134.04,226.31,552.63,767.46,0.98,3.2,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00067,2014-10-01,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,0.0,0.02,77.02,224.84,380.45,0.93,2.8667,86.0,0.0,0.0,0.0,0
APDA-NEG-00068,2008-06-14,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,37.41,80.01,153.37,262.84,432.09,0.87,2.4667,86.0,0.0,0.0,0.0,0
